Highest Value: 92.63%
Epoch #228 -> 91.6
Epoch #229 -> 92.08
Epoch #230 -> 91.65
Epoch #231 -> 92.28
Epoch #232 -> 91.73
Epoch #233 -> 92.02
Epoch #234 -> 91.9
Epoch #235 -> 92.0
Epoch #236 -> 91.77
Epoch #237 -> 92.25
Epoch #238 -> 91.65
Epoch #239 -> 91.94
Epoch #240 -> 92.2
Epoch #241 -> 92.07
Epoch #242 -> 91.67
Epoch #243 -> 92.02
Epoch #244 -> 91.76
Epoch #245 -> 91.7
Epoch #246 -> 91.67
Epoch #247 -> 91.87
Epoch #248 -> 91.34
Epoch #249 -> 92.16
Epoch #250 -> 91.99
Epoch #251 -> 91.57
Epoch #252 -> 92.18
Epoch #253 -> 92.1
Epoch #254 -> 92.32
Epoch #255 -> 91.75
Epoch #256 -> 92.17
Epoch #257 -> 91.92
Epoch #258 -> 92.21
Epoch #259 -> 92.01
Epoch #260 -> 91.61
Epoch #261 -> 91.75
Epoch #262 -> 91.9
Epoch #263 -> 91.84
Epoch #264 -> 91.81
Epoch #265 -> 91.8
Epoch #266 -> 91.97
Epoch #267 -> 91.4
Epoch #268 -> 92.18
Epoch #269 -> 91.61
Epoch #270 -> 91.99
Epoch #271 -> 92.2
Epoch #272 -> 92.31
Epoch #273 -> 92.11
Epoch #274 -> 92.22
Epoch #275 -> 91.84
Epoch #276 -> 92.24
Epoch #277 -> 92.1
Epoch #278 -> 92.02
Epoch #279 -> 92.1
Epoch #280 -> 91.8
Epoch #281 -> 92.13
Epoch #282 -> 92.11
Epoch #283 -> 91.88
Epoch #284 -> 91.94
Epoch #285 -> 92.0
Epoch #286 -> 92.26
Epoch #287 -> 91.87
Epoch #288 -> 92.29
Epoch #289 -> 91.95
Epoch #290 -> 92.01
Epoch #291 -> 91.79
Epoch #292 -> 92.13
Epoch #293 -> 91.92
Epoch #294 -> 92.11
Epoch #295 -> 92.15
Epoch #296 -> 91.4
Epoch #297 -> 91.72
Epoch #298 -> 92.08
Epoch #299 -> 92.28
Epoch #300 -> 91.9
Epoch #301 -> 91.89
Epoch #302 -> 91.95
Epoch #303 -> 91.8
Epoch #304 -> 91.78
Epoch #305 -> 91.91
Epoch #306 -> 92.33
Epoch #307 -> 92.09
Epoch #308 -> 92.04
Epoch #309 -> 92.27
Epoch #310 -> 92.19
Epoch #311 -> 92.0
Epoch #312 -> 91.97
Epoch #313 -> 92.16
Epoch #314 -> 92.4
Epoch #315 -> 92.24
Epoch #316 -> 92.19
Epoch #317 -> 92.21
Epoch #318 -> 91.64
Epoch #319 -> 91.63
Epoch #320 -> 92.13
Epoch #321 -> 91.86
Epoch #322 -> 92.01
Epoch #323 -> 91.72
Epoch #324 -> 91.84
Epoch #325 -> 91.91
Epoch #326 -> 91.77
Epoch #327 -> 92.26
Epoch #328 -> 92.09
Epoch #329 -> 92.2
Epoch #330 -> 92.36
Epoch #331 -> 92.3
Epoch #332 -> 92.7
Epoch #333 -> 92.51
Epoch #334 -> 92.03
Epoch #335 -> 92.64
Epoch #336 -> 92.41
Epoch #337 -> 92.34
Epoch #338 -> 92.17
Epoch #339 -> 92.46
Epoch #340 -> 92.42
Epoch #341 -> 92.4
Epoch #342 -> 92.03
Epoch #343 -> 92.0
Epoch #344 -> 91.9
Epoch #345 -> 91.7
Epoch #346 -> 92.23
Epoch #347 -> 91.95
Epoch #348 -> 92.54
Epoch #349 -> 92.4
Epoch #350 -> 92.2
Epoch #351 -> 92.26
Epoch #352 -> 92.41
Epoch #353 -> 92.32
Epoch #354 -> 92.63
Epoch #355 -> 92.21
Epoch #356 -> 92.08
Epoch #357 -> 92.2
Epoch #358 -> 92.15
Epoch #359 -> 92.16
